分类1,分类2,报送分类,TICKER,ISIN,债券名称,AccSection,Portfolio,CCY,Nominal（原币）,Nominal（USD）,Nominal(亿原币）,Nominal(亿美元）,摊余成本（USD）,摊余成本（亿USD）,Maket Value（USD）,Duration,Size*Dur,WAL,SIZE*WAL,EffectiveYield,Size*Yld, IRSCCSAmt ,IRSCCSYield,Real Yield,Size*Real Yld,FTP Rate,Size*FTP,Carry,Size*Carry,PL,PL2,估亏比例,Maturity,NXT_CALL_DT,tmp1,MaturityWithCall(not used),year,month,date,MaturityWithCall,2025,2026,Maturity_Check,平均买价,摊余成本价格,市场价格,国别风险,TLAC债券,FLOATER,INSTRUMENT,是否repo,repo占比,实际repo,实际repo%,绿债,现价*规模（美元）, 久期 ,凸性,OAS,PVBP（万美元）,IRS PV01（万美元）,CCS PV01（万美元）,总PVBP（万美元）,,是否私募
MBS,CMO,吉利美MBS,GNR,US38380RWK21,GNR 2021-34 AB,AFS,HOBJIFSTA076,USD," 38,873,925.00 "," 38,873,925.00 ", 0.39 , 0.39 ," 38,847,547.07 ", 0.39 ," 28,576,883.12 ", 3.355 ," 130,344,942.614 ", 5.000 ," 194,249,389.634 ", 1.3581 ," 52,757,448.1770 ", -   , -   , 1.36 ," 52,757,448.1770 ", 0.0685 ," 2,659,425.3776 ", 129 ," 5,009,802,279.9445 "," -10,270,663.95 "," -10,272,745.67 ",-26.4%,01/03/2063,2046/1/16,2046/1/16,2046/1/16,2046,1,16,2046/1/16, -   ," 500,980.23 ", -   , 99.94 , 99.93 , 73.51 , US , #N/A N/A , N ,GNMA-USA 1.35 160363 MBS,,,,,N," 28,576,883.12 ", 3.36 , 0.24 , 8.41 , 0.9588 , -   , -   , 0.96 ,0.958838452,N
MBS,CMO,吉利美MBS,GNR,US38382NCQ88,GNR 2021-26 AE,HTM,HOBJIFSTH076,USD," 33,508,479.50 "," 33,508,479.50 ", 0.34 , 0.34 ," 33,507,197.14 ", 0.34 ," 25,648,495.99 ", 6.796 ," 227,719,378.449 ", 8.957 ," 300,110,561.884 ", 1.2534 ," 41,999,104.3666 ", -   , -   , 1.25 ," 41,999,104.3666 ", 0.0685 ," 2,293,835.7017 ", 118 ," 3,970,526,866.4972 "," -7,858,701.15 "," -7,854,747.81 ",-23.4%,01/02/2051,#N/A N/A,#VALUE!,2051/2/1,2051,2,1,2051/2/1, -   ," 397,052.69 ", -   , 99.98 , 100.00 , 76.54 , US , #N/A N/A , N ,GNMA-USA 1.25 200251 MBS F,,,,,N," 25,648,495.99 ", 6.80 , 0.81 , 8.80 , 1.7431 , -   , -   , 1.74 ,1.743105978,N
MBS,CMO,吉利美MBS,GNR,US38382NL396,GNR 2021-39 AC,HTM,HOBJIFSTH076,USD," 64,663,086.00 "," 64,663,086.00 ", 0.65 , 0.65 ," 64,594,652.57 ", 0.65 ," 49,529,531.34 ", 6.212 ," 401,292,255.283 ", 8.173 ," 527,938,554.958 ", 1.2582 ," 81,274,090.6244 ", -   , -   , 1.26 ," 81,274,090.6244 ", 0.0685 ," 4,422,020.7260 ", 119 ," 7,685,206,989.8473 "," -15,065,121.23 "," -15,072,933.02 ",-23.3%,01/02/2051,#N/A N/A,#VALUE!,2051/2/1,2051,2,1,2051/2/1, -   ," 768,520.70 ", -   , 99.91 , 99.89 , 76.60 , US , #N/A N/A , N ,GNMA-USA 1.25 200251 MBS E,,,,,N," 49,529,531.34 ", 6.21 , 0.54 , 8.77 , 3.0770 , -   , -   , 3.08 ,3.077006616,N
MBS,CMO,吉利美MBS,GNR,US38382NB637,GNR 2021-30 LA,HTM,HOBJIFSTH076,USD," 65,439,053.00 "," 65,439,053.00 ", 0.65 , 0.65 ," 65,343,027.92 ", 0.65 ," 50,419,874.19 ", 6.546 ," 427,712,710.339 ", 8.634 ," 564,165,168.725 ", 1.2601 ," 82,341,121.4290 ", -   , -   , 1.26 ," 82,341,121.4290 ", 0.0685 ," 4,473,253.0051 ", 119 ," 7,786,786,842.3955 "," -14,923,153.73 "," -14,937,379.99 ",-22.9%,01/02/2051,#N/A N/A,#VALUE!,2051/2/1,2051,2,1,2051/2/1, -   ," 778,678.68 ", -   , 99.88 , 99.85 , 77.05 , US , #N/A N/A , N ,GNMA-USA 1.25 200251 MBS A,,,,,N," 50,419,874.19 ", 6.55 , 0.55 , 8.50 , 3.3003 , -   , -   , 3.30 ,3.300309418,N
MBS,CMO,吉利美MBS,GNR,US38382NVU89,GNR 2021-23 GA,HTM,HOBJIFSTH076,USD," 138,759,498.00 "," 138,759,498.00 ", 1.39 , 1.39 ," 138,535,406.85 ", 1.39 ," 106,710,633.03 ", 6.572 ," 910,417,605.709 ", 8.693 ," 1,204,343,705.880 ", 1.2608 ," 174,669,436.3134 ", -   , -   , 1.26 ," 174,669,436.3134 ", 0.0685 ," 9,483,856.8819 ", 119 ," 16,518,557,943.1456 "," -31,824,773.82 "," -31,853,734.43 ",-23.0%,01/02/2051,#N/A N/A,#VALUE!,2051/2/1,2051,2,1,2051/2/1, -   ," 1,651,855.79 ", -   , 99.86 , 99.84 , 76.90 , US , #N/A N/A , N ,GNMA-USA 1.25 200251 MBS,,,,,N," 106,710,633.03 ", 6.57 , 0.55 , 8.83 , 7.0127 , -   , -   , 7.01 ,7.012737121,N
MBS,CMO,吉利美MBS,GNR,US38382NYV36,GNR 2021-30 AC,HTM,HOBJIFSTH076,USD," 33,508,479.50 "," 33,508,479.50 ", 0.34 , 0.34 ," 33,473,522.94 ", 0.33 ," 25,648,495.99 ", 6.796 ," 227,490,524.140 ", 8.957 ," 299,808,955.558 ", 1.2581 ," 42,114,586.3562 ", -   , -   , 1.26 ," 42,114,586.3562 ", 0.0685 ," 2,291,530.4334 ", 119 ," 3,982,305,592.2820 "," -7,825,026.95 "," -7,828,569.31 ",-23.4%,01/02/2051,#N/A N/A,#VALUE!,2051/2/1,2051,2,1,2051/2/1, -   ," 398,230.56 ", -   , 99.91 , 99.90 , 76.54 , US , #N/A N/A , N ,GNMA-USA 1.25 200251 MBS C,,,,,N," 25,648,495.99 ", 6.80 , 0.81 , 8.80 , 1.7431 , -   , -   , 1.74 ,1.743105979,N
MBS,CMO,吉利美MBS,GNR,US38382NNC73,GNR 2021-24 CB,HTM,HOBJIFSTH076,USD," 60,399,780.00 "," 60,399,780.00 ", 0.60 , 0.60 ," 60,334,025.65 ", 0.60 ," 46,685,707.95 ", 6.497 ," 392,002,466.464 ", 8.537 ," 515,089,677.219 ", 1.2584 ," 75,921,885.3052 ", -   , -   , 1.26 ," 75,921,885.3052 ", 0.0685 ," 4,130,346.7282 ", 119 ," 7,179,153,857.6998 "," -13,648,317.70 "," -13,657,447.25 ",-22.6%,01/02/2051,#N/A N/A,#VALUE!,2051/2/1,2051,2,1,2051/2/1, -   ," 717,915.39 ", -   , 99.91 , 99.89 , 77.29 , US , #N/A N/A , N ,GNMA-USA 1.25 200251 MBS H,,,,,N," 46,685,707.95 ", 6.50 , 0.53 , 8.00 , 3.0333 , -   , -   , 3.03 ,3.033265635,N
MBS,CMO,吉利美MBS,GNR,US38382NTZ05,GNR 2021-25 AC,HTM,HOBJIFSTH076,USD," 67,016,959.00 "," 67,016,959.00 ", 0.67 , 0.67 ," 67,014,394.28 ", 0.67 ," 51,296,991.98 ", 6.796 ," 455,438,756.962 ", 8.957 ," 600,221,123.767 ", 1.2534 ," 83,998,208.7333 ", -   , -   , 1.25 ," 83,998,208.7333 ", 0.0685 ," 4,587,671.4033 ", 118 ," 7,941,053,732.9946 "," -15,717,402.30 "," -15,709,495.62 ",-23.4%,01/02/2051,#N/A N/A,#VALUE!,2051/2/1,2051,2,1,2051/2/1, -   ," 794,105.37 ", -   , 99.98 , 100.00 , 76.54 , US , #N/A N/A , N ,GNMA-USA 1.25 200251 MBS G,,,,,N," 51,296,991.98 ", 6.80 , 0.81 , 8.80 , 3.4862 , -   , -   , 3.49 ,3.486211957,N
MBS,passthrough,吉利美MBS,G2,US36179WBX56,G2 MA7254,HTM,HOBJIFSTH076,USD," 365,677,062.00 "," 365,677,062.00 ", 3.66 , 3.66 ," 376,068,515.28 ", 3.76 ," 303,777,077.33 ", 6.529 ," 2,455,230,909.823 ", 8.556 ," 3,217,604,609.892 ", 1.8686 ," 702,722,646.7996 ", -   , -   , 1.87 ," 702,722,646.7996 ", 0.0312 ," 11,750,636.8285 ", 184 ," 69,097,200,997.1106 "," -72,291,437.95 "," -68,982,597.04 ",-18.5%,01/03/2051,#N/A Field Not Applicable,#VALUE!,2051/3/1,2051,3,1,2051/3/1, -   ," 6,909,720.10 ", -   , 101.94 , 102.84 , 83.07 , US , #N/A N/A , N ,GNMA-USA 2.0 200351 MBS,,,,,N," 303,777,077.33 ", 6.53 , 0.09 , 7.73 , 19.8326 , -   , -   , 19.83 ,19.83263261,N
Corps,TMT,中资企业离岸债券,CONAMP,XS2211037184,CONAMP 2 5/8 09/17/30,HTM,HOBJIFCRH451,USD," 10,000,000.00 "," 10,000,000.00 ", 0.10 , 0.10 ," 9,897,911.30 ", 0.10 ," 9,346,500.00 ", 4.285 ," 42,416,453.571 ", -   , -   , 2.8774 ," 28,480,456.8295 ", -   , -   , 2.88 ," 28,480,456.8295 ", 0.2611 ," 2,584,631.6788 ", 262 ," 2,589,582,515.0649 "," -551,411.30 "," -551,411.30 ",-5.6%,17/09/2030,2030/6/17,2030/6/17,2030/6/17,2030,6,17,2030/6/17, -   ," 258,958.25 ", -   , 98.06 , 98.98 , 93.47 , CN , #N/A N/A , N ,575656724 2.625 170930 CALL,,,,,N," 9,346,500.00 ", 4.29 , 0.21 , 4.29 , 0.4005 , -   , -   , 0.40 ,0.400534387,N
Fins,Foreign Banks,外资金融机构债券,WFC,US95000U2G70,WFC 2.879 10/30/30,AFS,HOBJIFCRA031,USD," 60,000,000.00 "," 60,000,000.00 ", 0.60 , 0.60 ," 56,763,848.77 ", 0.57 ," 57,192,000.00 ", 3.517 ," 199,657,704.840 ", -   , -   , 4.1638 ," 236,356,014.9112 ", -   , -   , 4.16 ," 236,356,014.9112 ", 3.2387 ," 183,840,622.9093 ", 93 ," 5,251,539,200.1957 "," 428,151.23 "," 428,151.23 ",0.8%,30/10/2030,2029/10/30,2029/10/30,2029/10/30,2029,10,30,2029/10/30, -   ," 525,153.92 ", -   , 92.70 , 94.61 , 95.32 , US , TLAC , N ,WFB-HO 2.879 301030 CALL,,,,,N," 57,192,000.00 ", 3.52 , 0.15 , 3.51 , 2.0116 , -   , -   , 2.01 ,2.011636579,N
