分类1,分类2,报送分类,TICKER,ISIN,债券名称,AccSection,Portfolio,CCY,Nominal（原币）,Nominal（USD）,Nominal(亿原币）,Nominal(亿美元）,摊余成本（USD）,摊余成本（亿USD）,Maket Value（USD）,Duration,Size*Dur,WAL,SIZE*WAL,EffectiveYield,Size*Yld, IRSCCSAmt ,IRSCCSYield,Real Yield,Size*Real Yld,FTP Rate,Size*FTP,Carry,Size*Carry,PL,PL2,估亏比例,Maturity,NXT_CALL_DT,tmp1,MaturityWithCall(not used),year,month,date,MaturityWithCall,2025,2026,Maturity_Check,平均买价,摊余成本价格,市场价格,国别风险,TLAC债券,FLOATER,INSTRUMENT,是否repo,repo占比,实际repo,实际repo%,绿债,现价*规模（美元）, 久期 ,凸性,OAS,PVBP（万美元）,IRS PV01（万美元）,CCS PV01（万美元）,总PVBP（万美元）,,是否私募
Rates,Govs,外国政府/主权债券,T,US912828X885,T 2 3/8 05/15/27,HTM,HOBJIFIRH001,USD," 40,000,000.00 "," 40,000,000.00 ", 0.40 , 0.40 ," 40,073,176.20 ", 0.40 ," 39,414,080.00 ", 1.291 ," 51,731,493.689 ", -   , -   , 2.2462 ," 90,014,063.4744 ", -   , -   , 2.25 ," 90,014,063.4744 ", 1.3701 ," 54,902,255.0520 ", 88 ," 3,511,180,842.2448 "," -659,096.20 "," -659,096.20 ",-1.6%,15/05/2027,#N/A Field Not Applicable,#VALUE!,2027/5/15,2027,5,15,2027/5/15, -   ," 351,118.08 ", -   , 101.17 , 100.18 , 98.54 , US , #N/A N/A , N ,USTN 2.375 150527,,,,,N," 39,414,080.00 ", 1.29 , 0.02 , 1.29 , 0.5088 , -   , -   , 0.51 ,0.508806495,N
Rates,China Sovereign,中国（含香港政府）主权债券,CHINA,HK0000789559,CHINA 0 5/8 11/17/33,HTM,HOBJIFIRH101,EUR," 83,350,000.00 "," 97,659,476.01 ", 0.83 , 0.98 ," 83,833,030.65 ", 0.84 ," 82,984,186.55 ", 7.431 ," 623,000,876.384 ", -   , -   , 2.6373 ," 221,088,717.0852 ", -   , -   , 2.64 ," 221,088,717.0852 ", 0.2608 ," 21,865,834.0520 ", 238 ," 19,922,288,303.3203 "," -848,844.10 "," -848,844.10 ",-1.0%,17/11/2033,#N/A Field Not Applicable,#VALUE!,2033/11/17,2033,11,17,2033/11/17, -   ," 1,992,228.83 ", -   , 80.80 , 85.84 , 84.97 , CN , #N/A N/A , N ,CHINA 0.625 171133,,,,,N," 82,984,186.55 ", 7.43 , 0.63 , 7.63 , 6.1669 , -   , -   , 6.17 ,6.166927349,N
Corps,LGFV,中资企业离岸债券,GZGETH,XS2405718466,GZGETH 2.85 01/19/27,AFS,HOBJIFCRA451,USD," 39,000,000.00 "," 39,000,000.00 ", 0.39 , 0.39 ," 39,000,000.00 ", 0.39 ," 38,316,720.00 ", 0.965 ," 37,629,422.572 ", -   , -   , 2.8636 ," 111,678,629.7900 ", -   , -   , 2.86 ," 111,678,629.7900 ", 0.4659 ," 18,171,348.0000 ", 240 ," 9,350,728,179.0000 "," -683,280.00 "," -683,280.00 ",-1.8%,19/01/2027,#N/A Field Not Applicable,#VALUE!,2027/1/19,2027,1,19,2027/1/19, -   ," 935,072.82 ", -   , 100.00 , 100.00 , 98.25 , CN , #N/A N/A , N ,220288587 2.85 190127,,,,,Y," 38,316,720.00 ", 0.96 , 0.01 , 0.96 , 0.3697 , -   , -   , 0.37 ,0.369701551,N
Rates,Govs,外国政府/主权债券,T,US912828Z781,T 1 1/2 01/31/27,AFS,HOBJIFIRA001,USD," 20,000,000.00 "," 20,000,000.00 ", 0.20 , 0.20 ," 19,898,521.78 ", 0.20 ," 19,575,400.00 ", 1.014 ," 20,179,166.589 ", -   , -   , 1.9795 ," 39,388,469.5947 ", -   , -   , 1.98 ," 39,388,469.5947 ", 0.2936 ," 5,842,424.8775 ", 169 ," 3,354,604,471.7120 "," -323,121.78 "," -323,121.78 ",-1.6%,31/01/2027,#N/A Field Not Applicable,#VALUE!,2027/1/31,2027,1,31,2027/1/31, -   ," 335,460.45 ", -   , 97.81 , 99.49 , 97.88 , US , #N/A N/A , N ,USTN 1.5 310127,,,,,N," 19,575,400.00 ", 1.01 , 0.02 , 1.01 , 0.1985 , -   , -   , 0.20 ,0.198514876,N
Rates,China Sovereign,中国（含香港政府）主权债券,CHINA,HK0000789559,CHINA 0 5/8 11/17/33,AFS,HOBJIFIRA101,EUR," 271,600,000.00 "," 318,228,118.60 ", 2.72 , 3.18 ," 257,907,072.28 ", 2.58 ," 270,407,979.22 ", 7.431 ," 1,916,623,206.989 ", -   , -   , 3.4070 ," 878,700,335.6641 ", -   , -   , 3.41 ," 878,700,335.6641 ", 2.6863 ," 692,827,116.1676 ", 72 ," 18,587,321,949.6510 "," 12,500,906.94 "," 12,500,906.94 ",4.8%,17/11/2033,#N/A Field Not Applicable,#VALUE!,2033/11/17,2033,11,17,2033/11/17, -   ," 1,858,732.19 ", -   , 75.69 , 81.04 , 84.97 , CN , #N/A N/A , N ,CHINA 0.625 171133,,,,,N," 270,407,979.22 ", 7.43 , 0.63 , 7.63 , 20.0952 , -   , -   , 20.10 ,20.09523057,N
Fins,Foreign Banks,外资金融机构债券,BNP,US05581LAF67,BNP 5.335 06/12/29,AFS,HOBJIFCRA031,USD," 27,000,000.00 "," 27,000,000.00 ", 0.27 , 0.27 ," 26,406,642.63 ", 0.26 ," 27,723,870.00 ", 2.237 ," 59,060,794.134 ", -   , -   , 6.1421 ," 162,191,731.3721 ", -   , -   , 6.14 ," 162,191,731.3721 ", 5.6197 ," 148,397,752.8762 ", 52 ," 1,379,397,849.5878 "," 1,317,227.37 "," 1,317,227.37 ",5.0%,12/06/2029,2028/6/12,2028/6/12,2028/6/12,2028,6,12,2028/6/12, -   ," 137,939.78 ", -   , 96.57 , 97.80 , 102.68 , FR , MREL , N ,BNP-HO 5.335 120629 CALL,,,,,N," 27,723,870.00 ", 2.24 , 0.06 , 2.23 , 0.6201 , -   , -   , 0.62 ,0.620068898,N
Fins,Foreign Banks,外资金融机构债券,BAC,US06051GGL77,BAC 3.705 04/24/28,AFS,HOBJIFCRA031,USD," 26,000,000.00 "," 26,000,000.00 ", 0.26 , 0.26 ," 25,168,054.25 ", 0.25 ," 25,899,380.00 ", 1.223 ," 30,779,261.780 ", -   , -   , 5.2586 ," 132,349,376.9093 ", -   , -   , 5.26 ," 132,349,376.9093 ", 5.1891 ," 130,600,607.3781 ", 7 ," 174,876,953.1239 "," 731,325.75 "," 731,325.75 ",2.9%,24/04/2028,2027/4/24,2027/4/24,2027/4/24,2027,4,24,2027/4/24, -   ," 17,487.70 ", -   , 94.66 , 96.80 , 99.61 , US , TLAC , N ,BOA-HO 3.705 240428 CALL,,,,,N," 25,899,380.00 ", 1.22 , 0.02 , 1.22 , 0.3167 , -   , -   , 0.32 ,0.316736363,N
Fins,Foreign Banks,外资金融机构债券,UOBSP,AU3FN0096244,UOBSP Float 02/28/28,AFS,HOBJIFCRA531,AUD," 21,000,000.00 "," 14,009,959.03 ", 0.21 , 0.14 ," 14,009,959.03 ", 0.14 ," 14,033,505.80 ", 0.115 ," 1,607,292.367 ", -   , -   , 4.3820 ," 61,391,510.0180 ", -   , -   , 4.38 ," 61,391,510.0180 ", 4.1655 ," 58,358,246.1523 ", 22 ," 303,326,386.5654 "," 23,546.77 "," 23,546.77 ",0.2%,28/02/2028,#N/A Field Not Applicable,#VALUE!,2028/2/28,2028,2,28,2028/2/28, -   ," 30,332.64 ", -   , 100.00 , 100.00 , 100.17 , SG , #N/A N/A , Y ,UOB-SYD FRN+65 280228,,,,,N," 14,033,505.80 ", 0.11 , 0.00 , 0.11 , 0.0161 , -   , -   , 0.02 ,0.016099938,N
Corps,LGFV,中资企业离岸债券,HENANG,XS3138763225,HENANG 4.3 08/20/28,AFS,HOBJIFCRA051,USD," 10,000,000.00 "," 10,000,000.00 ", 0.10 , 0.10 ," 10,000,000.00 ", 0.10 ," 10,010,800.00 ", 2.391 ," 23,906,143.792 ", -   , -   , 4.3356 ," 43,356,116.7000 ", -   , -   , 4.34 ," 43,356,116.7000 ", 4.2728 ," 42,727,520.0000 ", 6 ," 62,859,670.0000 "," 10,800.00 "," 10,800.00 ",0.1%,20/08/2028,#N/A Field Not Applicable,#VALUE!,2028/8/20,2028,8,20,2028/8/20, -   ," 6,285.97 ", -   , 100.00 , 100.00 , 100.11 , CN , #N/A N/A , N ,74517147 4.3 200828,,,,,Y," 10,010,800.00 ", 2.39 , 0.07 , 2.39 , 0.2393 , -   , -   , 0.24 ,0.239319624,N
MBS,CMO,吉利美MBS,GNR,US38379UVF01,GNR 2016-87 AD,HTM,HOBJIFSTH076,USD," 17,200,772.82 "," 17,200,772.82 ", 0.17 , 0.17 ," 16,389,669.33 ", 0.16 ," 14,224,643.50 ", 3.300 ," 54,080,495.784 ", 4.280 ," 70,149,423.697 ", 2.5893 ," 42,437,185.0279 ", -   , -   , 2.59 ," 42,437,185.0279 ", 1.3701 ," 22,454,666.4648 ", 122 ," 1,998,251,856.3097 "," -2,165,025.83 "," -2,715,185.77 ",-16.0%,01/03/2058,2042/1/16,2042/1/16,2042/1/16,2042,1,16,2042/1/16, -   ," 199,825.19 ", -   , 98.48 , 95.28 , 82.70 , US , #N/A N/A , N ,GNMA-USA 2.35 160358 MBS,,,,,N," 14,224,643.50 ", 3.30 , 0.21 , 6.66 , 0.4694 , -   , -   , 0.47 ,0.469366256,N
MBS,CMO,吉利美MBS,GNR,US38379LWL60,GNR 2015-52 PA,HTM,HOBJIFSTH076,USD," 240,608.76 "," 240,608.76 ", 0.00 , 0.00 ," 372,242.28 ", 0.00 ," 222,058.31 ", 5.299 ," 1,972,632.070 ", 6.561 ," 2,442,281.595 ",-0.0198 ,"-7,372.0164 ", -   , -   , -0.02 ,"-7,372.0164 ", 1.3701 ," 509,990.5349 ",-139 ,"-51,736,255.1313 "," -150,183.97 "," -25,994.29 ",-10.5%,01/02/2044,#N/A N/A,#VALUE!,2044/2/1,2044,2,1,2044/2/1, -   ," -5,173.63 ", -   , 103.09 , 154.71 , 92.29 , US , #N/A N/A , N ,GNMA-USA 3 200244 ABS,,,,,N," 222,058.31 ", 5.30 , -0.08 , 6.25 , 0.0118 , -   , -   , 0.01 ,0.011767587,N
MBS,CMO,吉利美MBS,GNR,US38379L7A86,GNR 2015-65 LD,HTM,HOBJIFSTH076,USD," 8,066,823.00 "," 8,066,823.00 ", 0.08 , 0.08 ," 7,661,880.15 ", 0.08 ," 7,261,003.85 ", 4.745 ," 36,356,760.344 ", 5.560 ," 42,599,287.423 ", 2.3409 ," 17,935,327.9230 ", -   , -   , 2.34 ," 17,935,327.9230 ", 1.3701 ," 10,497,158.8939 ", 97 ," 743,816,902.9103 "," -400,876.30 "," -704,983.86 ",-8.8%,01/03/2045,#N/A N/A,#VALUE!,2045/3/1,2045,3,1,2045/3/1, -   ," 74,381.69 ", -   , 98.75 , 94.98 , 90.01 , US , #N/A N/A , N ,GNMA-USA 2 200345 ABS,,,,,N," 7,261,003.85 ", 4.75 , -0.01 , 5.59 , 0.3445 , -   , -   , 0.34 ,0.344545427,N
Fins,Foreign Banks,外资金融机构债券,HSBC,US404280FF11,HSBC Float 11/06/31,AFS,HOBJIFCRA031,USD," 15,000,000.00 "," 15,000,000.00 ", 0.15 , 0.15 ," 15,000,000.00 ", 0.15 ," 15,058,500.00 ", 0.003 ," 41,661.247 ", -   , -   , 5.1427 ," 77,140,067.5500 ", -   , -   , 5.14 ," 77,140,067.5500 ", 3.8018 ," 57,026,715.0000 ", 134 ," 2,011,335,255.0000 "," 58,500.00 "," 58,500.00 ",0.4%,06/11/2031,2030/11/6,2030/11/6,2030/11/6,2030,11,6,2030/11/6, -   ," 201,133.53 ", -   , 100.00 , 100.00 , 100.39 , GB , TLAC , Y ,HSBCHOLD FRN+119 061131 CALL,,,,,N," 15,058,500.00 ", 0.00 , 0.00 , 0.02 , 0.0004 , -   , -   , 0.00 ,0.000418237,N
MBS,CMO,吉利美MBS,GNR,US38379RCG65,GNR 2016-7 AE,HTM,HOBJIFSTH076,USD," 4,434,831.47 "," 4,434,831.47 ", 0.04 , 0.04 ," 4,180,630.92 ", 0.04 ," 4,164,484.14 ", 1.352 ," 5,651,304.344 ", 1.466 ," 6,127,550.740 ", 2.5938 ," 10,843,807.3964 ", -   , -   , 2.59 ," 10,843,807.3964 ", 1.3701 ," 5,727,673.3923 ", 122 ," 511,613,400.4026 "," -16,146.78 "," -230,156.67 ",-5.2%,01/09/2056,2041/1/16,2041/1/16,2041/1/16,2041,1,16,2041/1/16, -   ," 51,161.34 ", -   , 99.09 , 94.27 , 93.90 , US , #N/A N/A , N ,GNMA-USA 2.3 160956 ABS,,,,,N," 4,164,484.14 ", 1.35 , 0.03 , 3.04 , 0.0563 , -   , -   , 0.06 ,0.056294774,N
MBS,CMO,吉利美MBS,GNR,US38379UEE29,GNR 2016-26 AF,HTM,HOBJIFSTH076,USD," 5,048,472.00 "," 5,048,472.00 ", 0.05 , 0.05 ," 4,906,361.95 ", 0.05 ," 4,256,816.06 ", 3.024 ," 14,837,317.071 ", 3.786 ," 18,576,467.603 ", 2.5003 ," 12,267,189.6962 ", -   , -   , 2.50 ," 12,267,189.6962 ", 1.3701 ," 6,721,961.1853 ", 113 ," 554,522,851.0889 "," -649,545.89 "," -753,792.40 ",-15.0%,01/09/2057,2040/4/16,2040/4/16,2040/4/16,2040,4,16,2040/4/16, -   ," 55,452.29 ", -   , 99.25 , 97.19 , 84.32 , US , #N/A N/A , N ,GNMA-USA 2.35 160957 MBS,,,,,N," 4,256,816.06 ", 3.02 , 0.17 , 6.21 , 0.1287 , -   , -   , 0.13 ,0.128730269,N
MBS,CMO,吉利美MBS,GNR,US38379K2G20,GNR 2015-154 AB,HTM,HOBJIFSTH076,USD," 5,077,376.40 "," 5,077,376.40 ", 0.05 , 0.05 ," 5,230,956.87 ", 0.05 ," 4,431,676.29 ", 2.687 ," 14,055,592.659 ", 3.187 ," 16,669,490.266 ", 2.3597 ," 12,343,627.3436 ", -   , -   , 2.36 ," 12,343,627.3436 ", 1.3701 ," 7,166,672.4634 ", 99 ," 517,695,488.0159 "," -799,280.58 "," -674,260.35 ",-13.2%,01/03/2051,2039/7/16,2039/7/16,2039/7/16,2039,7,16,2039/7/16, -   ," 51,769.55 ", -   , 100.56 , 103.02 , 87.28 , US , #N/A N/A , N ,GNMA-USA 2.5 160351 MBS,,,,,N," 4,431,676.29 ", 2.69 , 0.13 , 5.57 , 0.1191 , -   , -   , 0.12 ,0.11907924,N
MBS,CMO,吉利美MBS,GNR,US38379RBK86,GNR 2015-188 AE,HTM,HOBJIFSTH076,USD," 2,654,828.36 "," 2,654,828.36 ", 0.03 , 0.03 ," 2,520,396.69 ", 0.03 ," 2,436,006.79 ", 1.597 ," 4,025,521.809 ", 1.755 ," 4,423,044.145 ", 2.3095 ," 5,820,766.1939 ", -   , -   , 2.31 ," 5,820,766.1939 ", 1.3701 ," 3,453,069.4800 ", 94 ," 236,769,671.3929 "," -84,389.90 "," -196,421.46 ",-7.5%,01/02/2048,2039/4/16,2039/4/16,2039/4/16,2039,4,16,2039/4/16, -   ," 23,676.97 ", -   , 99.16 , 94.94 , 91.76 , US , #N/A N/A , N ,GNMA-USA 2 160248 MBS,,,,,N," 2,436,006.79 ", 1.60 , 0.04 , 3.31 , 0.0389 , -   , -   , 0.04 ,0.038907361,N
MBS,CMO,吉利美MBS,GNR,US38379UFP66,GNR 2016-24 AE,HTM,HOBJIFSTH076,USD," 4,747,531.05 "," 4,747,531.05 ", 0.05 , 0.05 ," 4,955,206.55 ", 0.05 ," 4,311,560.53 ", 2.205 ," 10,927,371.163 ", 2.497 ," 12,374,637.317 ", 2.4195 ," 11,989,123.9323 ", -   , -   , 2.42 ," 11,989,123.9323 ", 1.3701 ," 6,788,880.7337 ", 105 ," 520,024,319.8586 "," -643,646.02 "," -457,235.51 ",-9.6%,01/12/2056,2038/10/16,2038/10/16,2038/10/16,2038,10,16,2038/10/16, -   ," 52,002.43 ", -   , 100.45 , 104.37 , 90.82 , US , #N/A N/A , N ,GNMA-USA 2.6 161256 ABS,,,,,N," 4,311,560.53 ", 2.21 , 0.08 , 4.24 , 0.0951 , -   , -   , 0.10 ,0.095079835,N
MBS,CMO,吉利美MBS,GNR,US38379UEB89,GNR 2016-26 AB,HTM,HOBJIFSTH076,USD," 231,731.90 "," 231,731.90 ", 0.00 , 0.00 ," 231,731.90 ", 0.00 ," 229,115.65 ", 0.233 ," 54,098.368 ", 0.242 ," 56,171.813 ", 2.2672 ," 525,388.1484 ", -   , -   , 2.27 ," 525,388.1484 ", 1.3701 ," 317,484.2896 ", 90 ," 20,790,385.8824 "," -2,616.25 "," -2,616.25 ",-1.1%,01/04/2056,2040/4/16,2040/4/16,2040/4/16,2040,4,16,2040/4/16, -   ," 2,079.04 ", -   , 100.00 , 100.00 , 98.87 , US , #N/A N/A , N ,GNMA-USA 2.25 160456 ABS,,,,,N," 229,115.65 ", 0.23 , 0.00 , 0.45 , 0.0005 , -   , -   , 0.00 ,0.000534876,N
MBS,CMO,吉利美MBS,GNR,US38379UGP57,GNR 2016-34 AD,HTM,HOBJIFSTH076,USD," 4,379,163.60 "," 4,379,163.60 ", 0.04 , 0.04 ," 4,093,759.81 ", 0.04 ," 3,695,593.68 ", 2.952 ," 12,084,552.227 ", 3.624 ," 14,837,423.060 ", 2.6268 ," 10,753,476.8915 ", -   , -   , 2.63 ," 10,753,476.8915 ", 1.3701 ," 5,608,655.6294 ", 126 ," 514,482,126.2130 "," -398,166.13 "," -642,515.26 ",-14.8%,01/09/2057,2037/12/16,2037/12/16,2037/12/16,2037,12,16,2037/12/16, -   ," 51,448.21 ", -   , 99.06 , 93.48 , 84.39 , US , #N/A N/A , N ,GNMA-USA 2.3 160957 MBS,,,,,N," 3,695,593.68 ", 2.95 , 0.16 , 6.26 , 0.1091 , -   , -   , 0.11 ,0.109091879,N
MBS,CMO,吉利美MBS,GNR,US38379UME37,GNR 2016-40 A,HTM,HOBJIFSTH076,USD," 6,865,520.10 "," 6,865,520.10 ", 0.07 , 0.07 ," 6,064,337.91 ", 0.06 ," 5,409,789.55 ", 3.410 ," 20,680,095.066 ", 4.748 ," 28,795,902.112 ", 2.5620 ," 15,537,128.3808 ", -   , -   , 2.56 ," 15,537,128.3808 ", 1.3701 ," 8,308,446.1478 ", 119 ," 722,868,223.2959 "," -654,548.36 "," -1,232,601.15 ",-18.6%,01/07/2057,2040/4/16,2040/4/16,2040/4/16,2040,4,16,2040/4/16, -   ," 72,286.82 ", -   , 96.75 , 88.33 , 78.80 , US , #N/A N/A , N ,GNMA-USA 2.0 160757 MBS,,,,,N," 5,409,789.55 ", 3.41 , 0.24 , 7.18 , 0.1845 , -   , -   , 0.18 ,0.184480093,N
MBS,CMO,吉利美MBS,GNR,US38379VWV25,GNR 2016-38 NE,HTM,HOBJIFSTH076,USD," 924,850.60 "," 924,850.60 ", 0.01 , 0.01 ," 1,328,942.98 ", 0.01 ," 880,767.60 ", 4.233 ," 5,625,205.408 ", 4.899 ," 6,510,225.881 ", 0.6653 ," 884,166.7101 ", -   , -   , 0.67 ," 884,166.7101 ", 1.3701 ," 1,820,718.3327 ",-70 ,"-93,655,162.2511 "," -448,175.39 "," -68,360.33 ",-7.2%,01/01/2046,#N/A N/A,#VALUE!,2046/1/1,2046,1,1,2046/1/1, -   ," -9,365.52 ", -   , 102.63 , 143.69 , 95.23 , US , #N/A N/A , N ,GNMA-USA 3.0 200146 MBS,,,,,N," 880,767.60 ", 4.23 , -0.40 , 5.33 , 0.0373 , -   , -   , 0.04 ,0.037281499,N
MBS,CMO,吉利美MBS,GNR,US38379VWM26,GNR 2016-38 PA,HTM,HOBJIFSTH076,USD," 1,176,521.50 "," 1,176,521.50 ", 0.01 , 0.01 ," 1,718,202.92 ", 0.02 ," 1,078,738.45 ", 5.530 ," 9,501,164.870 ", 6.960 ," 11,959,379.621 ", 0.5797 ," 995,956.8566 ", -   , -   , 0.58 ," 995,956.8566 ", 1.3701 ," 2,354,023.9139 ",-79 ,"-135,806,705.7243 "," -639,464.48 "," -130,872.72 ",-10.8%,01/03/2046,#N/A N/A,#VALUE!,2046/3/1,2046,3,1,2046/3/1, -   ," -13,580.67 ", -   , 102.81 , 146.04 , 91.69 , US , #N/A N/A , N ,GNMA-USA 3 200346 MBS,,,,,N," 1,078,738.45 ", 5.53 , -0.50 , 6.59 , 0.0597 , -   , -   , 0.06 ,0.059651114,N
MBS,CMO,吉利美MBS,GNR,US38379RGT41,GNR 2016-36 A,HTM,HOBJIFSTH076,USD," 7,015,544.40 "," 7,015,544.40 ", 0.07 , 0.07 ," 6,686,046.53 ", 0.07 ," 6,095,967.89 ", 2.765 ," 18,487,881.374 ", 3.296 ," 22,037,209.376 ", 2.7511 ," 18,393,981.6840 ", -   , -   , 2.75 ," 18,393,981.6840 ", 1.3701 ," 9,160,218.0541 ", 138 ," 923,376,362.9915 "," -590,078.65 "," -866,959.93 ",-12.5%,01/03/2057,2038/7/16,2038/7/16,2038/7/16,2038,7,16,2038/7/16, -   ," 92,337.64 ", -   , 99.25 , 95.30 , 86.89 , US , #N/A N/A , N ,GNMA-USA 2.5 160357 MBS,,,,,N," 6,095,967.89 ", 2.77 , 0.14 , 5.86 , 0.1686 , -   , -   , 0.17 ,0.168562289,N
MBS,CMO,吉利美MBS,GNR,US38379V3E28,GNR 2016-32 JG,HTM,HOBJIFSTH076,USD," 1,870,582.00 "," 1,870,582.00 ", 0.02 , 0.02 ," 2,789,379.35 ", 0.03 ," 1,711,732.18 ", 5.519 ," 15,393,885.064 ", 6.959 ," 19,412,127.734 ", 0.4507 ," 1,257,067.7802 ", -   , -   , 0.45 ," 1,257,067.7802 ", 1.3701 ," 3,821,589.1830 ",-92 ,"-256,452,140.2817 "," -1,077,647.18 "," -214,967.28 ",-11.2%,01/03/2046,#N/A N/A,#VALUE!,2046/3/1,2046,3,1,2046/3/1, -   ," -25,645.21 ", -   , 103.00 , 149.12 , 91.51 , US , #N/A N/A , N ,GNMA-USA 3 200346 MBS A,,,,,N," 1,711,732.18 ", 5.52 , -0.51 , 6.59 , 0.0945 , -   , -   , 0.09 ,0.094466206,N
MBS,CMO,吉利美MBS,GNR,US38379UMF02,GNR 2016-40 AB,HTM,HOBJIFSTH076,USD," 1,716,392.40 "," 1,716,392.40 ", 0.02 , 0.02 ," 1,639,042.31 ", 0.02 ," 1,516,956.19 ", 2.114 ," 3,465,739.391 ", 2.407 ," 3,945,502.658 ", 2.2588 ," 3,702,276.8754 ", -   , -   , 2.26 ," 3,702,276.8754 ", 1.3701 ," 2,245,569.9221 ", 89 ," 145,670,695.3323 "," -122,086.13 "," -181,199.55 ",-10.7%,01/03/2050,2040/4/16,2040/4/16,2040/4/16,2040,4,16,2040/4/16, -   ," 14,567.07 ", -   , 98.94 , 95.49 , 88.38 , US , #N/A N/A , N ,GNMA-USA 2 160350 MBS,,,,,N," 1,516,956.19 ", 2.11 , 0.08 , 4.83 , 0.0321 , -   , -   , 0.03 ,0.032075894,N
MBS,CMO,吉利美MBS,GNR,US38378KPH67,GNR 2013-63 AM,HTM,HOBJIFSTH076,USD," 462,365.53 "," 462,365.53 ", 0.00 , 0.00 ," 440,778.36 ", 0.00 ," 447,050.13 ", 0.646 ," 284,785.585 ", 0.682 ," 300,478.608 ", 2.2934 ," 1,010,880.0686 ", -   , -   , 2.29 ," 1,010,880.0686 ", 1.3701 ," 603,888.3924 ", 92 ," 40,699,167.6267 "," 6,271.77 "," -13,437.04 ",-2.9%,01/02/2047,2038/6/16,2038/6/16,2038/6/16,2038,6,16,2038/6/16, -   ," 4,069.92 ", -   , 99.59 , 95.33 , 96.69 , US , #N/A N/A , N ,GNMA-USA 1.9981 160247 MBS,,,,,N," 447,050.13 ", 0.65 , 0.01 , 1.46 , 0.0029 , -   , -   , 0.00 ,0.002888378,N
MBS,CMO,吉利美MBS,GNR,US38373AHE91,GNR 2009-65 ZA,HTM,HOBJIFSTH076,USD," 1,694,080.36 "," 1,694,080.36 ", 0.02 , 0.02 ," 2,779,127.17 ", 0.03 ," 1,742,442.97 ", 3.946 ," 10,967,225.702 ", 4.766 ," 13,244,208.425 ", 0.5906 ," 1,641,370.8746 ", -   , -   , 0.59 ," 1,641,370.8746 ", 1.3701 ," 3,807,543.1745 ",-78 ,"-216,617,229.9924 "," -1,036,684.20 "," -161,279.84 ",-8.5%,01/08/2039,#N/A N/A,#VALUE!,2039/8/1,2039,8,1,2039/8/1, -   ," -21,661.72 ", -   , 112.38 , 164.05 , 102.85 , US , #N/A N/A , N ,GNMA-USA 5.5 160839 MBS,,,,,N," 1,742,442.97 ", 3.95 , 0.09 , 4.08 , 0.0688 , -   , -   , 0.07 ,0.068761752,N
MBS,CMO,吉利美MBS,GNR,US38378XQ384,GNR 2014-166 PX,HTM,HOBJIFSTH076,USD," 10,869,537.60 "," 10,869,537.60 ", 0.11 , 0.11 ," 12,064,929.93 ", 0.12 ," 9,231,520.02 ", 3.107 ," 37,487,368.192 ", 3.905 ," 47,107,518.893 ", 2.0172 ," 24,337,635.6791 ", -   , -   , 2.02 ," 24,337,635.6791 ", 1.3701 ," 16,529,557.2440 ", 65 ," 780,807,843.5129 "," -2,833,409.90 "," -1,916,549.48 ",-17.2%,01/05/2055,2038/2/16,2038/2/16,2038/2/16,2038,2,16,2038/2/16, -   ," 78,080.78 ", -   , 102.56 , 111.00 , 84.93 , US , #N/A N/A , N ,GNMA-USA 2.5 160555 MBS,,,,,N," 9,231,520.02 ", 3.11 , 0.18 , 6.17 , 0.2868 , -   , -   , 0.29 ,0.286835806,N
MBS,CMO,吉利美MBS,GNR,US38379UND45,GNR 2016-45 AE,HTM,HOBJIFSTH076,USD," 877,148.03 "," 877,148.03 ", 0.01 , 0.01 ," 786,636.61 ", 0.01 ," 747,465.20 ", 2.829 ," 2,225,017.307 ", 3.420 ," 2,690,218.529 ", 2.8198 ," 2,218,143.3100 ", -   , -   , 2.82 ," 2,218,143.3100 ", 1.3701 ," 1,077,731.4823 ", 145 ," 114,041,182.7691 "," -39,171.40 "," -120,363.13 ",-13.9%,01/09/2057,2037/5/16,2037/5/16,2037/5/16,2037,5,16,2037/5/16, -   ," 11,404.12 ", -   , 98.94 , 89.68 , 85.22 , US , #N/A N/A , N ,GNMA-USA 2.3 160957 MBS A,,,,,N," 747,465.20 ", 2.83 , 0.14 , 5.97 , 0.0211 , -   , -   , 0.02 ,0.021142202,N
MBS,CMO,吉利美MBS,GNR,US38379UNC61,GNR 2016-45 AD,HTM,HOBJIFSTH076,USD," 2,392,221.90 "," 2,392,221.90 ", 0.02 , 0.02 ," 1,754,514.42 ", 0.02 ," 2,031,010.75 ", 2.825 ," 4,957,156.094 ", 3.420 ," 6,000,263.876 ", 3.7283 ," 6,541,435.2176 ", -   , -   , 3.73 ," 6,541,435.2176 ", 1.3701 ," 2,403,772.4855 ", 236 ," 413,766,273.2063 "," 276,496.32 "," -299,536.68 ",-12.9%,01/09/2057,2037/5/16,2037/5/16,2037/5/16,2037,5,16,2037/5/16, -   ," 41,376.63 ", -   , 97.42 , 73.34 , 84.90 , US , #N/A N/A , N ,GNMA-USA 2.25 160957 MBS,,,,,N," 2,031,010.75 ", 2.83 , 0.14 , 6.01 , 0.0574 , -   , -   , 0.06 ,0.057383611,N
